year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	28	13	27	22	Mr_Digs	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2018	11	28	13	27	23	Mr_Digs	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2018	11	28	13	27	23	Mr_Digs	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2018	11	28	13	27	24	Mr_Digs	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2018	11	28	20	46	15	freakdown	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	28	20	46	16	freakdown	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	28	20	46	19	freakdown	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	28	20	46	20	freakdown	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	28	20	46	23	freakdown	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	51	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	51	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	52	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	52	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	53	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	54	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	54	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	55	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	55	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	56	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	57	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	11	29	14	05	57	Mr_Digs	Cardano_ff	Prismarine Crystals	1.0	64.0	64	world	[-2509, 23, 2815]
2018	12	12	18	38	37	freakdown	K9us	Prismarine Crystals	0.0	0.0	2	world	[-2747, 22, 1824]
2018	12	12	18	38	39	freakdown	K9us	Prismarine Crystals	0.0	0.0	2	world	[-2745, 22, 1824]
2018	12	12	18	38	52	freakdown	K9us	Prismarine Crystals	8.0	8.0	1	world	[-2745, 19, 1824]
2018	12	12	18	38	54	freakdown	K9us	Prismarine Crystals	6.0	6.0	1	world	[-2745, 20, 1824]
2019	01	07	10	21	52	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	55	world	[-2747, 22, 1824]
2019	01	07	10	32	39	NorraLigan	K9us	Prismarine Crystals	4.0	84.0	21	world	[-2745, 21, 1824]
2019	01	22	15	38	30	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	15	39	03	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	15	39	04	Aewheros	K9us	Prismarine Crystals	4.0	144.0	36	world	[-2747, 21, 1824]
2019	01	22	15	39	04	Aewheros	K9us	Prismarine Crystals	4.0	8.0	2	world	[-2747, 21, 1824]
2019	01	22	16	17	19	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	17	22	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	17	23	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	17	24	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	17	41	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	17	42	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	17	43	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	17	44	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	17	45	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	24	54	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	25	03	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	22	16	25	04	Aewheros	K9us	Prismarine Crystals	4.0	252.0	63	world	[-2747, 21, 1824]
2019	01	25	14	05	22	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	05	25	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	05	40	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	05	40	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	05	41	Aewheros	K9us	Prismarine Crystals	4.0	244.0	61	world	[-2747, 21, 1824]
2019	01	25	14	05	52	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	05	53	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	05	54	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	06	03	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	06	04	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	09	20	Aewheros	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	25	14	43	03	NorraLigan	K9us	Prismarine Crystals	6.0	6.0	1	world	[-2747, 20, 1824]
2019	01	26	12	53	05	Aewheros	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	01	26	21	53	53	Haksndot	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2019	01	26	21	53	54	Haksndot	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2019	01	26	21	53	54	Haksndot	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2019	01	26	21	53	55	Haksndot	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2019	01	26	21	53	56	Haksndot	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2019	01	27	05	04	09	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	27	05	04	12	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	27	05	04	12	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	27	05	04	13	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	01	27	05	04	54	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	02	13	12	29	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	02	13	12	31	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	02	13	12	32	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	02	13	12	32	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	02	13	12	33	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	02	13	12	34	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	02	13	12	34	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	02	13	12	35	Aewheros	K9us	Prismarine Crystals	0.0	0.0	50	world	[-2747, 22, 1824]
2019	02	02	13	13	02	Aewheros	K9us	Prismarine Crystals	0.0	0.0	19	world	[-2747, 22, 1824]
2019	02	02	13	13	21	Aewheros	K9us	Prismarine Crystals	0.0	0.0	21	world	[-2747, 22, 1824]
2019	02	03	13	02	10	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	10	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	11	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	12	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	12	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	13	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	13	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	14	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	33	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	33	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	34	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	34	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	35	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	36	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	02	36	Aewheros	K9us	Prismarine Crystals	0.0	0.0	9	world	[-2747, 22, 1824]
2019	02	03	13	02	37	Aewheros	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	03	13	04	10	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	04	10	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	03	13	04	11	Aewheros	K9us	Prismarine Crystals	0.0	0.0	26	world	[-2747, 22, 1824]
2019	02	03	13	04	11	Aewheros	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	03	13	04	12	Aewheros	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	03	13	04	13	Aewheros	K9us	Prismarine Crystals	0.0	0.0	2	world	[-2747, 22, 1824]
2019	02	03	13	04	24	Aewheros	K9us	Prismarine Crystals	0.0	0.0	25	world	[-2747, 22, 1824]
2019	02	03	13	04	25	Aewheros	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	03	13	04	25	Aewheros	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	03	13	49	15	japanimator	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2019	02	03	13	49	18	japanimator	sharonclaws	Prismarine Crystals	1.0	64.0	64	world	[-2508, 23, 2815]
2019	02	07	23	55	04	nilssssss	K9us	Prismarine Crystals	16.0	16.0	1	world	[-1844, 21, 1579]
2019	02	07	23	55	05	nilssssss	K9us	Prismarine Crystals	16.0	16.0	1	world	[-1844, 21, 1579]
2019	02	07	23	55	06	nilssssss	K9us	Prismarine Crystals	16.0	16.0	1	world	[-1844, 21, 1579]
2019	02	07	23	55	06	nilssssss	K9us	Prismarine Crystals	16.0	16.0	1	world	[-1844, 21, 1579]
2019	02	08	13	51	44	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	08	13	51	45	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	08	13	51	45	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	08	13	51	47	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	13	51	47	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	13	51	48	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	13	51	48	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	13	51	49	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	13	51	50	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	13	51	51	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	61	world	[-2747, 22, 1824]
2019	02	08	14	08	24	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	25	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	26	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	26	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	38	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	38	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	39	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	39	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	40	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	43	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	44	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	14	08	45	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	12	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	13	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	14	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	15	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	16	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	36	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	37	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	38	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	39	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	39	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	46	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	47	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	47	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	48	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	48	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	49	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	50	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	51	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	51	freakdown	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	08	20	22	52	freakdown	K9us	Prismarine Crystals	0.0	0.0	25	world	[-2747, 22, 1824]
2019	02	08	20	23	00	freakdown	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	14	16	52	44	Aewheros	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	14	16	52	45	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	14	16	52	45	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	14	16	52	46	Aewheros	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	14	16	52	47	Aewheros	K9us	Prismarine Crystals	0.0	0.0	15	world	[-2747, 22, 1824]
2019	02	14	16	54	49	Aewheros	K9us	Prismarine Crystals	0.0	0.0	38	world	[-2747, 22, 1824]
2019	02	15	07	30	01	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	26	world	[-2747, 22, 1824]
2019	02	15	07	30	06	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	30	13	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	30	15	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	30	15	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	30	50	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	30	51	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	30	51	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	30	52	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	30	53	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	10	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	1	world	[-2747, 22, 1824]
2019	02	15	07	31	15	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	16	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	16	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	17	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	19	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	55	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	56	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	57	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	57	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	31	58	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	32	26	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	33	29	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	64	world	[-2747, 22, 1824]
2019	02	15	07	33	30	NorraLigan	K9us	Prismarine Crystals	0.0	0.0	30	world	[-2747, 22, 1824]
2019	02	15	07	33	34	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
2019	02	15	07	33	35	NorraLigan	K9us	Prismarine Crystals	4.0	256.0	64	world	[-2747, 21, 1824]
